Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,Within SLA,,SLA Violated,,9.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,Within SLA,,SLA Violated,,7.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,Within SLA,2023-01-07 11:23:15.054,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 04:19:42.046,Within SLA,2023-01-05 19:22:17.161,Within SLA,2023-01-12 18:08:53.602,3.0,3.0,Other,Tier 1,Italy,43.036776,12.678565
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,Within SLA,2023-01-05 07:37:10.835,Within SLA,,3.0,,Custom software development,Tier 2,Poland,52.536273,19.050639
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 2,Poland,52.536273,19.050639
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 03:04:27.475,SLA Violated,2023-01-05 21:50:51.227,Within SLA,2023-01-06 11:37:32.085,8.0,2.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-05 04:02:04.982,Within SLA,2023-01-06 17:14:14.261,Within SLA,2023-01-09 18:40:33.584,3.0,5.0,Custom software development,Tier 1,Italy,43.036776,12.678565
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-06 20:47:41.330,Within SLA,2023-01-07 00:07:32.803,Within SLA,2023-01-13 23:39:58.864,3.0,2.0,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,Within SLA,2023-01-08 07:15:33.362,Within SLA,,4.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,Within SLA,2023-01-07 06:22:47.483,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,Within SLA,,SLA Violated,,1.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,Within SLA,,SLA Violated,,8.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-06 12:06:37.265,Within SLA,2023-01-11 05:34:05.275,SLA Violated,2023-01-11 20:40:58.211,3.0,4.0,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-07 01:33:11.308,Within SLA,2023-01-12 02:26:01.957,SLA Violated,2023-01-14 00:42:18.528,6.0,4.0,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-07 06:09:50.229,Within SLA,2023-01-08 08:30:22.633,Within SLA,2023-01-14 16:18:51.456,2.0,5.0,Custom software development,Tier 2,Italy,43.036776,12.678565
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-07 19:04:58.137,Within SLA,2023-01-09 13:07:23.232,Within SLA,2023-01-12 22:16:01.046,8.0,4.0,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,Within SLA,2023-01-08 13:56:19.524,Within SLA,,8.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-07 10:35:51.009,Within SLA,2023-01-09 01:35:54.021,Within SLA,2023-01-09 09:28:09.839,7.0,5.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,Within SLA,,SLA Violated,,10.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,Within SLA,,SLA Violated,,60.0,,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 05:01:41.476,SLA Violated,2023-01-08 08:51:45.370,Within SLA,2023-01-12 04:26:34.100,2.0,1.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 10:59:35.789,Within SLA,2023-01-08 17:42:49.306,Within SLA,2023-01-10 20:07:57.409,5.0,5.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 01:01:24.891,Within SLA,2023-01-08 04:07:23.580,Within SLA,2023-01-10 14:51:41.345,3.0,3.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,Within SLA,2023-01-10 06:21:28.868,Within SLA,,6.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,Within SLA,2023-01-11 01:02:32.459,Within SLA,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-09 14:48:04.246,Within SLA,2023-01-10 19:32:16.928,Within SLA,2023-01-10 23:22:09.144,3.0,1.0,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-09 17:57:41.562,Within SLA,2023-01-10 12:39:05.914,Within SLA,2023-01-15 09:04:12.484,2.0,5.0,Custom software development,Tier 2,Poland,52.536273,19.050639
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,Within SLA,2023-01-15 17:10:06.485,SLA Violated,,1.0,,Custom software development,Tier 2,Germany,51.165691,10.451526
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-09 12:16:08.154,Within SLA,2023-01-10 16:04:07.277,Within SLA,2023-01-12 10:45:03.468,1.0,4.0,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675
